,ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,height,width,length
0,6-12,29.99,2.0,277.0,4.0,12,75823.0,Average,Bird Island Egg Heist,4.5,Angry Birds™,4.0,US,5,6,3
1,6-12,19.99,2.0,168.0,4.0,12,75822.0,Easy,Piggy Plane Attack,5.0,Angry Birds™,4.0,US,3,5,4
2,6-12,12.99,11.0,74.0,4.3,10,75821.0,Easy,Piggy Car Escape,4.3,Angry Birds™,4.1,US,2,2,6
3,12+,99.99,23.0,1032.0,3.6,9,21030.0,Average,United States Capitol Building,4.6,Architecture,4.3,US,6,17,6
4,12+,79.99,14.0,744.0,3.2,9,21035.0,Challenging,Solomon R. Guggenheim Museum®,4.6,Architecture,4.1,US,4,7,5
5,12+,59.99,7.0,597.0,3.7,8,21039.0,Average,Shanghai,4.9,Architecture,4.4,US,9,11,2
6,12+,59.99,37.0,598.0,3.7,10,21028.0,Average,New York City,4.2,Architecture,4.1,US,10,9,0.1846505179022918
7,12+,49.99,24.0,780.0,4.4,6,21029.0,Average,Buckingham Palace,4.7,Architecture,4.3,US,3,7,7
8,12+,39.99,23.0,468.0,3.6,8,21034.0,Average,London,4.7,Architecture,4.1,US,5,11,3
9,12+,39.99,11.0,444.0,3.6,8,21033.0,Average,Chicago,4.8,Architecture,4.5,US,7,8,1
10,12+,39.99,14.0,386.0,4.1,8,21036.0,Average,Arc de Triomphe,4.4,Architecture,3.6,US,4,5,3
11,12+,34.99,53.0,321.0,3.2,10,21019.0,Average,The Eiffel Tower,4.6,Architecture,4.4,US,12,4,4
12,12+,29.99,7.0,361.0,4.2,8,21032.0,Easy,Sydney,4.6,Architecture,4.2,US,8,9,2
13,7-12,159.99,63.0,847.0,3.8,6,17101.0,Average,BOOST Creative Toolbox,3.4,BOOST,3.5,US,4,5,9
14,10+,29.99,13.0,708.0,4.7,7,41597.0,Average,Go Brick Me,4.8,BrickHeadz,4.8,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
15,10+,19.99,1.0,234.0,3.0,9,41614.0,Easy,Owen & Blue,5.0,BrickHeadz,5.0,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
16,10+,19.99,1.0,160.0,5.0,10,41613.0,Very Easy,Mr. Incredible & Frozone,5.0,BrickHeadz,5.0,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
17,10+,9.99,1.0,149.0,2.0,12,41609.0,Very Easy,Chewbacca™,3.0,BrickHeadz,4.0,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
18,10+,9.99,1.0,141.0,2.0,12,41608.0,Very Easy,Han Solo™,4.0,BrickHeadz,4.0,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
19,10+,9.99,3.0,101.0,4.0,9,41604.0,Average,Iron Man MK50,4.7,BrickHeadz,4.5,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
20,10+,9.99,2.0,105.0,3.0,9,41605.0,Easy,Thanos,5.0,BrickHeadz,5.0,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
21,10+,9.99,1.0,113.0,5.0,8,41606.0,Easy,Star-Lord,5.0,BrickHeadz,5.0,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
22,10+,9.99,1.0,136.0,4.337640663742107,11,41607.0,0.16760459995106436,Gamora,5.0,BrickHeadz,0.14639915178207324,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
23,10+,9.99,2.0,91.0,3.0,11,41485.0,Easy,Finn,4.5,BrickHeadz,4.0,US,1,0.1864448250550526,0.1846505179022918
24,10+,9.99,7.0,140.0,3.2,10,40270.0,Easy,Valentine's Bee,4.9,BrickHeadz,4.7,US,0.1578174700269146,4,1
25,10+,9.99,5.0,143.0,4.6,7,41599.0,Easy,Wonder Woman™,5.0,BrickHeadz,5.0,US,1,0.1864448250550526,0.1846505179022918
26,10+,9.99,3.0,122.0,2.7,11,41598.0,Very Easy,The Flash™,4.0,BrickHeadz,3.0,US,1,0.1864448250550526,0.1846505179022918
27,10+,9.99,5.0,130.0,4.3,13,41603.0,Easy,Kylo Ren™,5.0,BrickHeadz,4.8,US,1,0.1864448250550526,0.1846505179022918
28,10+,9.99,3.0,119.0,4.5,11,41602.0,Easy,Rey,5.0,BrickHeadz,4.5,US,1,0.1864448250550526,0.1846505179022918
29,10+,9.99,1.0,135.0,1.0,6,41600.0,Very Easy,Aquaman™,4.0,BrickHeadz,3.0,US,1,0.1864448250550526,0.1846505179022918
30,10+,9.99,2.0,108.0,3.5,7,41601.0,Easy,Cyborg™,5.0,BrickHeadz,4.0,US,1,0.1864448250550526,0.1846505179022918
31,10+,19.99,1.0,240.0,3.0,13,41611.0,Easy,Marty McFly & Doc Brown,5.0,BrickHeadz,5.0,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
32,10+,19.99,16.82623813551358,209.0,4.337640663742107,11,41610.0,0.16760459995106436,Tactical Batman™ & Superman™,0.13212625397602154,BrickHeadz,0.14639915178207324,US,0.1578174700269146,0.1864448250550526,0.1846505179022918
33,10+,9.99,4.0,126.0,2.0,9,40271.0,Easy,Easter Bunny,5.0,BrickHeadz,4.5,US,0.1578174700269146,4,1
34,10+,9.99,7.0,102.0,4.0,9,41487.0,Easy,Lloyd,5.0,BrickHeadz,4.7,US,1,0.1864448250550526,0.1846505179022918
35,10+,9.99,5.0,89.0,3.2,11,41488.0,Very Easy,Master Wu,4.4,BrickHeadz,4.0,US,1,0.1864448250550526,0.1846505179022918
36,10+,9.99,6.0,118.0,3.3,11,41594.0,Very Easy,Captain Armando Salazar,5.0,BrickHeadz,4.7,US,1,0.1864448250550526,0.1846505179022918
37,10+,9.99,3.0,127.0,3.5,13,41486.0,Very Easy,Captain Phasma™,4.7,BrickHeadz,4.7,US,1,0.1864448250550526,0.1846505179022918
38,10+,9.99,11.0,91.0,3.8,10,41585.0,Very Easy,Batman™,4.9,BrickHeadz,4.7,US,1,0.1864448250550526,0.1846505179022918
39,10+,9.99,8.0,96.0,4.0,10,41590.0,Easy,Iron Man,4.9,BrickHeadz,4.4,US,1,0.1864448250550526,0.1846505179022918
40,10+,9.99,9.0,109.0,3.6,12,41593.0,Easy,Captain Jack Sparrow,4.8,BrickHeadz,4.6,US,1,0.1864448250550526,0.1846505179022918
41,10+,9.99,8.0,93.0,3.9,9,41592.0,Easy,The Hulk,4.6,BrickHeadz,4.1,US,1,0.1864448250550526,0.1846505179022918
42,10+,9.99,10.0,139.0,4.2,13,41595.0,Easy,Belle,4.8,BrickHeadz,4.7,US,1,0.1864448250550526,0.1846505179022918
43,10+,9.99,2.0,116.0,5.0,15,41596.0,Average,Beast,5.0,BrickHeadz,5.0,US,1,0.1864448250550526,0.1846505179022918
44,10+,9.99,12.0,151.0,3.3,10,41588.0,Easy,The Joker™,4.8,BrickHeadz,4.7,US,1,0.1864448250550526,0.1846505179022918
45,10+,9.99,4.0,143.0,3.5,10,41591.0,Easy,Black Widow,4.8,BrickHeadz,4.8,US,1,0.1864448250550526,0.1846505179022918
46,10+,9.99,10.0,101.0,4.3,8,41587.0,Very Easy,Robin™,4.8,BrickHeadz,4.9,US,1,0.1864448250550526,0.1846505179022918
47,10+,9.99,9.0,99.0,3.5,8,41586.0,Easy,Batgirl™,4.3,BrickHeadz,4.6,US,1,0.1864448250550526,0.1846505179022918
48,5-12,49.99,16.82623813551358,387.0,4.337640663742107,9,60175.0,0.16760459995106436,Mountain River Heist,0.13212625397602154,City,0.14639915178207324,US,3,8,7
